Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C210, C302",0805,3,150pF,
"C202, C209",0805,2,39nF,
"C203, C204, C205, C207, C401, C403, C404, C405, C407",0402,9,100nF,
"C206, C208, C303, C309, C312, C316, C402, C406",0603,8,2.2μF,
"C301, C304, C305, C306, C307, C311, C313, C314, C315, C317, C318, C319, C320",1210,13,10μF,
C308,0805,1,58nF,
C310,0603,1,10nF,
D301,D_PowerDI-123_THERMAL_PAD,1,DFLZ13Q-7,
"D302, D303, D304",D_PowerDI-123_THERMAL_PAD,3,DFLS240L-7,
D401,RSB12JS2,1,RSB12JS2,
"FID301, FID401",Fiducial_0.5mm_Mask1mm,2,FIDUCIAL,
"G201, G202, G301",Harwin_EMI_Finger_S7061-46R,3,CHASSIS,
"H401, H402, H403, H404",JLC_Tooling_hole,4,JLC_TOOLING_HOLE,
"J201, J203",Amphenol_ACJS-IHS,2,ACJS-IHS,
J202,AMPHENOL_SFV20R-2STE1HLF,1,SFV20R-2STE1HLF,
J301,CUI_PJ-063AH,1,PJ-063AH,
"J401, J404, J406, J408",TE_HPI_2.0MM_PITCH_MALE_HEADER_2POS,4,6-440054-2,
J403,PinHeader_2x02_P2.54mm_Vertical_SMD,1,2x2 PIN HEADER,
"L301, L302, L303",L_TDK_VLS6045EX_VLS6045AF,3,22μH,
"Q401, Q402",DMN2050LFDB,2,DMN2050,
"R201, R310, R312",0402,3,1MΩ,
"R202, R402, R411",0402,3,49.9kΩ,
"R301, R303, R404, R408, R413, R417",0402,6,750Ω,
"R302, R305, R311, R401, R403, R406, R407, R410, R412, R415, R416",0402,11,120Ω,
R304,0402,1,33kΩ,
R306,0402,1,3.3kΩ,
"R307, R313",0402,2,71.5kΩ,
"R308, R405, R414",0402,3,200Ω,
R309,0402,1,62.5kΩ,
"R409, R418",0603,2,15Ω,
TP301,TestPoint_Pad_D1.0mm,1,DC_IN,
TP302,TestPoint_Pad_D1.0mm,1,GND,
TP303,TestPoint_Pad_D1.0mm,1,-9V,
TP304,TestPoint_Pad_D1.0mm,1,+9V,
TP305,TestPoint_Pad_D1.0mm,1,+3V3,
U201,LFCSP-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,ADG5434,
U301,TO-252-2,1,LM337KVURG3,
"U302, U304",TO-252-2,2,LM317MDT-TR,
U303,LFCSP-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,ADP5070,
U401,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32G031K8U6,
