Designator,Mid X,Mid Y,Rotation,Layer
C201,14.5,16.0,270.0,top
C202,37.5,16.0,270.0,top
C203,17.5,16.0,270.0,top
C204,34.5,16.0,270.0,top
C205,34.375,11.27,270.0,top
C206,18.375,12.58,90.0,top
C207,35.7818,7.6,180.0,top
C209,22.9068,7.6,180.0,top
C211,10.2068,7.6,180.0,top
C301,99.874999,22.179999,0.0,top
C302,87.859297,28.159999,180.0,top
C303,99.459996,17.88,0.0,top
C304,94.3025,25.000001,90.0,top
C305,103.712499,14.205002,0.0,top
C306,91.447503,15.025001,0.0,top
C307,111.425,15.154999,270.0,top
C309,108.124999,5.005001,0.0,top
C310,98.149997,7.900001,270.0,top
C401,60.88,15.175,0.0,top
C402,68.7,29.975,90.0,top
C403,69.7,29.975001,90.0,top
C404,73.5068,30.6,90.0,top
C405,69.4,19.575,270.0,top
C406,67.1,28.775,180.0,top
C407,82.3,19.755,270.0,top
C408,77.7,20.995,90.0,top
C409,70.7,29.975001,90.0,top
C410,73.3,19.595,270.0,top
C411,67.1,27.775,180.0,top
C412,65.1,24.475,180.0,top
C413,65.1,23.475001,180.0,top
C414,77.900001,24.675,0.0,top
C415,77.9,25.675,0.0,top
C416,67.1,26.775001,180.0,top
C501,53.4,9.1125,180.0,top
C502,69.5,9.0125,180.0,top
C503,85.5,9.1125,180.0,top
C504,60.4,9.0125,180.0,top
C505,76.5,9.0125,180.0,top
C506,92.5,9.1125,180.0,top
C507,57.52,11.0125,0.0,top
C508,73.62,11.0125,0.0,top
C509,89.62,11.0125,0.0,top
D301,55.5,29.98,90.0,top
D302,89.156798,32.0,90.0,top
D303,107.8125,14.204999,180.0,top
D305,107.0068,38.5,270.0,top
D306,99.5,38.500001,270.0,top
D401,75.8,37.924999,270.0,top
D402,80.450001,28.275001,0.0,top
D403,60.0,38.7,90.0,top
D404,53.0,31.48,180.0,top
D405,61.5,38.7,90.0,top
D406,51.0,31.48,0.0,top
D407,63.000001,38.699999,90.0,top
D408,54.6068,22.100001,0.0,top
D409,54.606798,20.400001,0.0,top
D410,54.6068,18.7,0.0,top
D501,50.6,7.8325,0.0,top
D502,66.7,7.8325,0.0,top
D503,82.7,7.8325,0.0,top
D504,53.4,7.8325,180.0,top
D505,69.5,7.8325,180.0,top
D506,85.5,7.8325,180.0,top
D510,57.6,7.8325,0.0,top
D511,73.7,7.8325,0.0,top
D512,89.7,7.8325,0.0,top
D513,60.4,7.8325,180.0,top
D514,76.5,7.8325,180.0,top
D515,92.5,7.8325,180.0,top
F301,95.406799,33.0,180.0,top
F302,95.406799,29.0,0.0,top
FID201,26.5,12.0,0.0,top
FID301,100.597501,15.88,90.0,top
FID401,66.6,30.2,90.0,top
G201,16.0068,37.5,0.0,bottom
G202,36.0068,37.5,0.0,bottom
G301,108.5068,23.0,90.0,bottom
J201,16.0,32.2,0.0,top
J202,36.0,32.2,0.0,top
J203,13.263,4.25,0.0,top
J204,26.0005,4.25,0.0,top
J205,38.763,4.25,0.0,top
J302,107.1625,31.0,90.0,top
J401,79.6,34.975,270.0,top
J402,52.0068,35.4625,180.0,top
J501,52.0,4.25,180.0,top
J502,68.1,4.25,180.0,top
J503,84.1,4.25,180.0,top
J507,59.0,4.25,180.0,top
J508,75.1,4.25,180.0,top
J509,91.1,4.25,180.0,top
L301,106.025,19.905,180.0,top
Q501,50.7,11.3125,0.0,top
Q502,66.8,11.2125,0.0,top
Q503,82.8,11.2125,0.0,top
R201,16.0,16.0,270.0,top
R202,36.0,16.0,270.0,top
R301,98.459999,19.580001,270.0,top
R302,95.6025,23.300002,270.0,top
R303,96.459998,19.580002,90.0,top
R304,97.459998,19.58,270.0,top
R305,108.415,2.705002,180.0,top
R306,96.6025,25.200002,270.0,top
R307,108.306799,38.499999,270.0,top
R308,108.415002,3.705001,0.0,top
R309,95.6025,25.212131,270.0,top
R311,100.799998,38.5,270.0,top
R401,68.5,17.625,180.0,top
R402,68.5,16.6,180.0,top
R403,75.6,30.275,270.0,top
R404,65.1,25.475,0.0,top
R405,65.1,26.474999,0.0,top
R406,78.59,23.075,180.0,top
R407,60.0,36.1,270.0,top
R408,61.0,36.1,270.0,top
R409,47.8,30.5,90.0,top
R410,48.8,30.5,90.0,top
R411,63.0,36.1,270.0,top
R412,62.0,36.1,270.0,top
R413,52.1068,22.1,180.0,top
R414,52.1068,20.4,180.0,top
R415,52.096801,18.7,180.0,top
R501,51.0,9.6125,90.0,top
R502,67.1,9.5125,90.0,top
R503,83.1,9.5125,90.0,top
R504,57.5,12.0125,0.0,top
R505,73.6,12.0925,0.0,top
R506,89.6,12.0925,0.0,top
R507,58.0,9.5125,90.0,top
R508,74.1,9.5125,90.0,top
R509,90.1,9.5125,90.0,top
SW401,68.4,37.4,270.0,top
SW402,72.8,37.4,90.0,top
U201,25.25,11.35,90.0,top
U202,27.5,12.5,270.0,top
U301,100.287499,19.905001,0.0,top
U302,103.885,9.325,180.0,top
U304,90.0,20.760001,270.0,top
U401,63.300001,18.675,90.0,top
U402,72.3,24.775,180.0,top
Y401,80.0,20.375001,270.0,top
